customerID,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Serviço_Telefonico,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn,Servico_Internet
8773-HHUOZ,FEMININO,0,No,Yes,17,Yes,DSL,No,No,Yes,Month-to-month,Mailed check,19.6,1093.1,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3841-NFECX,FEMININO,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,No,Two year,Credit card (automatic),19.6,6766.95,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4929-XIHVW,MASCULINO,1,Yes,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),19.6,181.65,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6827-IEAUQ,FEMININO,0,Yes,Yes,27,Yes,DSL,Yes,Yes,No,One year,Mailed check,19.6,1874.45,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7310-EGVHZ,MASCULINO,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),19.6,20.2,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3413-BMNZE,MASCULINO,1,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),19.6,45.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6234-RAAPL,FEMININO,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),19.6,7251.7,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6047-YHPVI,MASCULINO,0,No,No,5,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,19.6,316.9,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6572-ADKRS,FEMININO,0,No,No,46,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),19.6,3548.3,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5380-WJKOV,MASCULINO,0,No,No,34,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,3549.25,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8168-UQWWF,FEMININO,0,No,No,11,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),19.6,1105.4,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8865-TNMNX,MASCULINO,0,Yes,Yes,10,Yes,DSL,No,No,No,One year,Mailed check,19.6,475.7,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9489-DEDVP,FEMININO,0,Yes,Yes,70,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),19.6,4872.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9867-JCZSP,FEMININO,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,19.6,418.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4671-VJLCL,FEMININO,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),19.6,4861.45,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4080-IIARD,FEMININO,0,Yes,No,13,Yes,DSL,Yes,Yes,Yes,Month-to-month,Electronic check,19.6,981.45,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3714-NTNFO,FEMININO,0,No,No,49,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,19.6,3906.7,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5948-UJZLF,MASCULINO,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Mailed check,19.6,97.0,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7760-OYPDY,FEMININO,0,No,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,144.15,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7639-LIAYI,MASCULINO,0,No,No,52,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),19.6,4217.8,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2954-PIBKO,FEMININO,0,Yes,Yes,69,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),19.6,4254.1,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8012-SOUDQ,FEMININO,1,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,3838.75,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9420-LOJKX,FEMININO,0,No,No,15,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),19.6,1426.4,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6575-SUVOI,FEMININO,1,Yes,No,25,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),19.6,1752.65,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7495-OOKFY,FEMININO,1,Yes,No,8,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),19.6,633.3,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4667-QONEA,FEMININO,1,Yes,Yes,60,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),19.6,4456.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
1658-BYGOY,MASCULINO,1,No,No,18,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,1752.55,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8769-KKTPH,FEMININO,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,Yes,One year,Credit card (automatic),19.6,6311.2,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5067-XJQFU,MASCULINO,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,One year,Electronic check,19.6,7076.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3957-SQXML,FEMININO,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.6,894.3,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5954-BDFSG,FEMININO,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,Two year,Credit card (automatic),19.6,7853.7,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0434-CSFON,FEMININO,0,Yes,No,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,4707.1,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
1215-FIGMP,MASCULINO,0,No,No,60,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),19.6,5450.7,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0526-SXDJP,MASCULINO,0,Yes,No,72,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),19.6,2962.0,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0557-ASKVU,FEMININO,0,Yes,Yes,18,Yes,DSL,No,Yes,No,One year,Credit card (automatic),19.6,957.1,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5698-BQJOH,FEMININO,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,857.25,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5122-CYFXA,FEMININO,0,No,No,3,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,19.6,244.1,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8627-ZYGSZ,MASCULINO,0,Yes,No,47,Yes,Fiber optic,No,No,No,One year,Electronic check,19.6,3650.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3410-YOQBQ,FEMININO,0,No,No,31,Yes,dsl,No,Yes,Yes,Two year,Mailed check,19.6,2497.2,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3170-NMYVV,FEMININO,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.6,930.9,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7410-OIEDU,MASCULINO,0,No,No,10,Yes,Fiber optic,Yes,No,No,Month-to-month,Mailed check,19.6,887.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2273-QCKXA,MASCULINO,0,No,No,1,Yes,dsl,No,Yes,No,Month-to-month,Mailed check,19.6,49.05,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0731-EBJQB,FEMININO,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,One year,Electronic check,19.6,1090.65,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
1891-QRQSA,MASCULINO,1,Yes,Yes,64,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),19.6,7099.0,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8028-PNXHQ,MASCULINO,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.6,1424.6,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5630-AHZIL,FEMININO,0,No,Yes,3,Yes,dsl,Yes,Yes,No,Month-to-month,Bank transfer (automatic),19.6,177.4,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2673-CXQEU,FEMININO,1,No,No,56,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,19.6,6139.5,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6416-JNVRK,FEMININO,0,No,No,46,Yes,DSL,No,No,No,One year,Credit card (automatic),19.6,2688.85,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5590-ZSKRV,FEMININO,0,Yes,Yes,8,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,19.6,482.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0191-ZHSKZ,MASCULINO,1,No,No,30,Yes,DSL,Yes,No,Yes,Month-to-month,Electronic check,19.6,2111.3,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3887-PBQAO,FEMININO,0,Yes,Yes,45,Yes,No,No internet service,No internet service,No internet service,One year,Credit card (automatic),19.6,1216.6,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5919-TMRGD,FEMININO,0,No,Yes,1,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,79.35,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8108-UXRQN,FEMININO,0,Yes,Yes,11,No,DSL,Yes,No,Yes,Month-to-month,Electronic check,19.6,565.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9191-MYQKX,FEMININO,0,Yes,No,7,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),19.6,496.9,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9919-YLNNG,FEMININO,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Bank transfer (automatic),19.6,4327.5,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0318-ZOPWS,FEMININO,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.6,973.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4445-ZJNMU,MASCULINO,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),19.6,918.75,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4808-YNLEU,FEMININO,0,Yes,No,35,Yes,DSL,Yes,No,Yes,One year,Bank transfer (automatic),19.6,2215.45,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
1862-QRWPE,FEMININO,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.6,1057.0,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2796-NNUFI,FEMININO,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,19.6,927.1,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3016-KSVCP,MASCULINO,0,Yes,No,29,No,DSL,No,No,Yes,Month-to-month,Mailed check,19.6,1009.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4767-HZZHQ,MASCULINO,0,Yes,Yes,30,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),19.6,2570.2,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2424-WVHPL,MASCULINO,1,No,No,1,Yes,Fiber optic,No,Yes,No,Month-to-month,Electronic check,19.6,74.7,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7233-PAHHL,MASCULINO,0,Yes,Yes,66,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,19.6,5714.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6067-NGCEU,FEMININO,0,No,No,65,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),19.6,7107.0,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9848-JQJTX,MASCULINO,0,No,No,72,Yes,Fiber optic,No,No,Yes,Two year,Bank transfer (automatic),19.6,7459.05,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8637-XJIVR,FEMININO,0,No,No,12,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,19.6,927.35,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9803-FTJCG,MASCULINO,0,Yes,Yes,71,Yes,dsl,Yes,Yes,No,One year,Credit card (automatic),19.6,4748.7,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0278-YXOOG,MASCULINO,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.6,113.85,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3212-KXOCR,MASCULINO,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.6,1107.2,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4598-XLKNJ,FEMININO,1,Yes,No,25,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,2514.5,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6380-ARCEH,MASCULINO,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.6,20.2,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3679-XASPY,FEMININO,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.6,19.45,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7123-WQUHX,MASCULINO,0,No,No,38,Yes,Fiber optic,No,Yes,Yes,One year,Bank transfer (automatic),19.6,3605.6,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5386-THSLQ,FEMININO,1,Yes,No,66,No,DSL,No,No,Yes,One year,Bank transfer (automatic),19.6,3027.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3192-NQECA,MASCULINO,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),19.6,7611.85,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6180-YBIQI,MASCULINO,0,No,No,5,No,DSL,No,No,No,Month-to-month,Mailed check,19.6,100.2,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6728-DKUCO,FEMININO,0,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,19.6,7303.05,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9750-BOOHV,FEMININO,0,No,No,32,No,DSL,Yes,No,No,One year,Mailed check,19.6,927.65,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8597-CWYHH,MASCULINO,0,No,No,43,Yes,Fiber optic,No,No,Yes,One year,Mailed check,19.6,3921.3,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2848-YXSMW,MASCULINO,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.6,1363.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0486-HECZI,MASCULINO,0,Yes,No,55,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,19.6,5238.9,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4549-ZDQYY,FEMININO,0,No,No,52,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),19.6,3042.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5712-AHQNN,FEMININO,0,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,3954.1,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4846-WHAFZ,FEMININO,1,Yes,No,37,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,19.6,2868.15,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5256-SKJGO,FEMININO,0,Yes,Yes,64,No,DSL,No,Yes,Yes,Two year,Electronic check,19.6,3423.5,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3071-VBYPO,MASCULINO,0,Yes,Yes,3,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,19.6,248.4,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9560-BBZXK,FEMININO,0,No,No,36,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),19.6,1126.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5299-RULOA,FEMININO,0,Yes,Yes,10,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,19.6,1064.65,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8402-OOOHJ,FEMININO,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,19.6,835.15,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9445-ZUEQE,MASCULINO,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),19.6,2151.6,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
1091-SOZGA,FEMININO,0,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,One year,Credit card (automatic),19.6,5515.45,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2928-HLDBA,FEMININO,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.6,112.75,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
0404-SWRVG,MASCULINO,0,No,No,3,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,19.6,229.55,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6497-TILVL,FEMININO,0,Yes,Yes,7,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,19.6,350.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7219-TLZHO,FEMININO,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.6,62.9,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4622-YNKIJ,MASCULINO,0,No,No,33,Yes,Fiber optic,Yes,Yes,Yes,Two year,Electronic check,19.6,3027.65,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4412-YLTKF,FEMININO,1,No,No,27,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,19.6,2135.5,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6734-PSBAW,MASCULINO,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.6,1723.95,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3930-ZGWVE,MASCULINO,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.6,19.75,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
2639-UGMAZ,MASCULINO,1,No,No,71,No,DSL,Yes,No,Yes,One year,Electronic check,19.6,3985.35,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
